,0
0,0.0
1,1.0
2,0.0
3,0.0
4,1.0
5,1.0
6,0.0
7,0.0
8,1.0
9,0.0
10,1.0
11,1.0
12,0.0
13,1.0
14,1.0
15,0.0
16,1.0
17,0.0
18,1.0
19,0.0
20,1.0
21,0.0
22,0.0
23,0.0
24,0.0
25,1.0
26,0.0
27,1.0
28,0.0
29,1.0
30,0.0
31,1.0
32,1.0
33,0.0
34,1.0
35,1.0
36,0.0
37,1.0
38,1.0
39,1.0
40,0.0
41,0.0
42,0.0
43,1.0
44,1.0
45,0.0
46,1.0
47,0.0
48,1.0
49,0.0
50,0.0
51,1.0
52,1.0
53,0.0
54,0.0
55,1.0
56,1.0
57,0.0
58,0.0
59,1.0
60,0.0
61,0.0
62,1.0
63,1.0
64,1.0
65,1.0
66,0.0
67,0.0
68,1.0
69,1.0
70,1.0
71,0.0
72,1.0
73,1.0
74,0.0
75,1.0
76,0.0
77,0.0
78,1.0
79,0.0
80,0.0
81,1.0
82,1.0
83,1.0
84,0.0
85,0.0
86,1.0
87,1.0
88,0.0
89,0.0
90,1.0
91,0.0
92,0.0
93,1.0
94,0.0
95,1.0
96,0.0
97,1.0
98,0.0
99,1.0
100,1.0
101,1.0
102,1.0
103,0.0
104,0.0
105,0.0
106,0.0
107,1.0
108,0.0
109,0.0
110,1.0
111,1.0
112,0.0
113,0.0
114,0.0
115,0.0
116,1.0
117,1.0
118,0.0
119,0.0
120,1.0
121,1.0
122,1.0
123,1.0
124,0.0
125,0.0
126,1.0
127,0.0
128,1.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,1.0
135,1.0
136,1.0
137,0.0
138,1.0
139,1.0
140,0.0
141,0.0
142,1.0
143,1.0
144,1.0
145,1.0
146,0.0
147,1.0
148,0.0
149,0.0
150,1.0
151,1.0
152,0.0
153,1.0
154,0.0
155,1.0
156,0.0
157,0.0
158,1.0
159,1.0
